id,county_id,subcounty_id,name,code,createdAt,updatedAt
706,27,141,Soy,ward706,2023-08-10T09:40:58.836+03:00,2023-08-10T09:40:58.836+03:00
707,27,141,Kuinet/kapsuswa,ward707,2023-08-10T09:40:58.837+03:00,2023-08-10T09:40:58.837+03:00
711,27,142,Kiplombe,ward711,2023-08-10T09:40:58.840+03:00,2023-08-10T09:40:58.840+03:00
712,27,142,Kapsaos,ward712,2023-08-10T09:40:58.841+03:00,2023-08-10T09:40:58.841+03:00
713,27,142,Huruma,ward713,2023-08-10T09:40:58.841+03:00,2023-08-10T09:40:58.841+03:00
714,27,143,Tembelio,ward714,2023-08-10T09:40:58.842+03:00,2023-08-10T09:40:58.842+03:00
715,27,143,Sergoit,ward715,2023-08-10T09:40:58.843+03:00,2023-08-10T09:40:58.843+03:00
724,27,145,Ngeria,ward724,2023-08-10T09:40:58.856+03:00,2023-08-10T09:40:58.856+03:00
716,27,143,Karuna/meibeki,ward716,2023-08-10T09:40:58.844+03:00,2023-08-10T09:40:58.844+03:00
717,27,143,Moiben,ward717,2023-08-10T09:40:58.845+03:00,2023-08-10T09:40:58.845+03:00
718,27,143,Kimumu,ward718,2023-08-10T09:40:58.846+03:00,2023-08-10T09:40:58.846+03:00
719,27,144,Kapsoya,ward719,2023-08-10T09:40:58.847+03:00,2023-08-10T09:40:58.847+03:00
725,27,145,Megun,ward725,2023-08-10T09:40:58.857+03:00,2023-08-10T09:40:58.857+03:00
726,27,145,Langas,ward726,2023-08-10T09:40:58.857+03:00,2023-08-10T09:40:58.857+03:00
720,27,144,Kaptagat,ward720,2023-08-10T09:40:58.849+03:00,2023-08-10T09:40:58.849+03:00
721,27,144,Ainabkoi/olare,ward721,2023-08-10T09:40:58.850+03:00,2023-08-10T09:40:58.850+03:00
722,27,145,Simat/kapseret,ward722,2023-08-10T09:40:58.855+03:00,2023-08-10T09:40:58.855+03:00
723,27,145,Kipkenyo,ward723,2023-08-10T09:40:58.855+03:00,2023-08-10T09:40:58.855+03:00
727,27,146,Racecourse,ward727,2023-08-10T09:40:58.858+03:00,2023-08-10T09:40:58.858+03:00
728,27,146,Cheptiret/kipchamo,ward728,2023-08-10T09:40:58.858+03:00,2023-08-10T09:40:58.858+03:00
729,27,146,Tulwet/chiyat,ward729,2023-08-10T09:40:58.859+03:00,2023-08-10T09:40:58.859+03:00
730,27,146,Tarakwa,ward730,2023-08-10T09:40:58.860+03:00,2023-08-10T09:40:58.860+03:00
731,28,147,Kapyego,ward731,2023-08-10T09:40:58.862+03:00,2023-08-10T09:40:58.862+03:00
732,28,147,Sambirir,ward732,2023-08-10T09:40:58.863+03:00,2023-08-10T09:40:58.863+03:00
733,28,147,Endo,ward733,2023-08-10T09:40:58.864+03:00,2023-08-10T09:40:58.864+03:00
1424,47,285,Utawala,ward1424,2023-08-10T09:40:59.451+03:00,2023-08-10T09:40:59.451+03:00
1425,47,285,Mihang'o,ward1425,2023-08-10T09:40:59.451+03:00,2023-08-10T09:40:59.451+03:00
734,28,147,Embobut/embulot,ward734,2023-08-10T09:40:58.865+03:00,2023-08-10T09:40:58.865+03:00
735,28,148,Lelan,ward735,2023-08-10T09:40:58.866+03:00,2023-08-10T09:40:58.866+03:00
736,28,148,Sengwer,ward736,2023-08-10T09:40:58.867+03:00,2023-08-10T09:40:58.867+03:00
737,28,148,Cheragany/chebororwa,ward737,2023-08-10T09:40:58.868+03:00,2023-08-10T09:40:58.868+03:00
746,28,150,Chepkorio,ward746,2023-08-10T09:40:58.877+03:00,2023-08-10T09:40:58.877+03:00
738,28,148,Moiben/kuserwo,ward738,2023-08-10T09:40:58.869+03:00,2023-08-10T09:40:58.869+03:00
739,28,148,Kapsowar,ward739,2023-08-10T09:40:58.870+03:00,2023-08-10T09:40:58.870+03:00
740,28,148,Arror,ward740,2023-08-10T09:40:58.871+03:00,2023-08-10T09:40:58.871+03:00
741,28,149,Kimariny,ward741,2023-08-10T09:40:58.872+03:00,2023-08-10T09:40:58.872+03:00
1426,47,286,Umoja I,ward1426,2023-08-10T09:40:59.451+03:00,2023-08-10T09:40:59.451+03:00
1427,47,286,Umoja Ii,ward1427,2023-08-10T09:40:59.452+03:00,2023-08-10T09:40:59.452+03:00
742,28,149,Emsoo,ward742,2023-08-10T09:40:58.873+03:00,2023-08-10T09:40:58.873+03:00
743,28,149,Tambach,ward743,2023-08-10T09:40:58.874+03:00,2023-08-10T09:40:58.874+03:00
